Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.264 78.1441 6.17305 7.86927 26.2146 35.5631 171.884 134.235 0.0091223 297.355 79.1864 146.074 130.149 73.2933 51.5214 55.4963 31.7087 35.9792 39.3648 8.78909 0.0969823 93.9624 331.803 35.7483 0.0544051 0.317295 1.42016 506.518 172.534 558.313 2.42186 384.39 38.835 51.5326 38.9511
3.268 75.4118 5.68502 6.11784 22.9749 31.398 164.332 132.327 0.0776734 304.858 87.9407 161.831 143.686 81.2997 57.2397 61.6386 35.2019 39.6259 43.5027 8.76726 0.108244 104.698 363.637 36.0827 0.0657311 0.333943 1.48989 493.049 168.98 622.39 2.93041 390.456 49.8488 66.3265 49.8096
3.272 72.4639 5.24291 4.56797 19.8142 27.3432 155.661 130.206 0.163407 310.81 96.7103 177.559 157.109 89.6253 63.1796 68.0118 38.7926 43.3627 47.741 8.73051 0.118914 115.916 396.735 37.0395 0.0767903 0.34165 1.56351 476.568 164.511 690.968 3.51269 394.707 62.6722 83.6133 62.317
3.276 69.3878 4.86456 3.25074 16.8273 23.5125 145.976 127.933 0.229488 317.099 105.201 192.752 170.01 98.1662 69.2701 74.5378 42.4156 47.1195 51.9978 8.68264 0.129551 127.465 430.927 38.7283 0.0881472 0.341958 1.6405 456.87 159.224 758.937 4.16748 397.521 77.1681 103.193 76.3351
3.28 66.2726 4.56506 2.18091 14.0877 19.9895 135.429 125.566 0.26513 323.159 113.095 206.879 181.978 106.807 75.4328 81.1318 46.0019 50.8231 56.1889 8.62682 0.139983 139.265 466.076 41.1936 0.0996888 0.335664 1.72001 433.956 153.234 822.257 4.89067 398.618 93.0916 124.712 91.6473
3.284 63.2027 4.35753 1.35546 11.6322 16.8172 124.203 123.161 0.273044 326.142 120.073 219.418 192.625 115.428 81.5808 87.6962 49.4883 54.4073 60.2357 8.56556 0.150386 151.271 502.072 44.4116 0.111589 0.323413 1.8009 408.068 146.672 896.278 5.67585 397.457 110.096 147.686 107.977
3.288 60.2488 4.25272 0.754285 9.47179 14.0083 112.504 120.77 0.260433 324.238 125.834 229.879 201.587 123.893 87.6168 94.1231 52.8164 57.8124 64.0675 8.50075 0.161676 163.493 538.966 48.2858 0.124645 0.306553 1.88202 379.655 139.679 976.157 6.51435 393.697 127.75 171.521 124.962
3.292 57.4754 4.26338 0.347614 7.6037 11.5596 100.718 118.443 0.235142 316.983 130.083 237.793 208.531 132.073 93.435 100.288 55.9365 60.9874 67.6189 8.43406 0.174143 175.951 576.972 52.4546 0.139171 0.285649 1.96201 349.45 132.416 1054.26 7.39509 387.297 145.577 195.54 142.179
3.296 54.9295 4.40418 0.0996949 6.01297 9.453 89.2968 116.223 0.203552 305.127 132.535 242.699 213.121 139.82 98.9277 106.071 58.7984 63.8826 70.8296 8.36639 0.188191 188.656 616.427 56.7688 0.155513 0.26163 2.03954 318.374 125.045 1126.42 8.30564 378.507 163.073 219.001 159.163
3.3 52.6485 4.69635 -0.0268743 4.67818 7.66313 78.567 114.142 0.17007 290.069 132.909 244.127 215.003 146.961 103.983 111.333 61.3617 66.4566 73.6415 8.29824 0.204396 201.58 657.643 61.211 0.174225 0.235455 2.11348 287.353 117.728 1190.87 9.23444 367.795 179.713 241.15 175.454
3.304 50.6585 5.16842 -0.0682172 3.5749 6.16128 68.7406 112.227 0.137452 273.176 130.945 241.639 213.81 153.329 108.492 115.943 63.5855 68.6682 76.0012 8.22954 0.222807 214.666 700.968 65.7643 0.195303 0.207402 2.18296 257.228 110.619 1247.16 10.1708 355.746 194.962 261.221 190.582
3.308 48.9793 5.85949 -0.063124 2.67798 4.91806 59.9201 110.494 0.107073 255.597 126.441 234.853 209.167 158.776 112.349 119.768 65.4345 70.4802 77.8589 8.15959 0.243514 227.851 746.787 70.4224 0.218806 0.178137 2.24716 228.675 103.855 1295.66 11.1056 342.981 208.293 278.463 204.086
3.312 47.6224 6.82003 -0.0540372 1.96263 3.90459 52.1291 108.955 0.0790881 238.352 119.291 223.523 200.709 163.17 115.464 122.697 66.8805 71.8622 79.1797 8.08707 0.266222 241.066 795.453 75.199 0.244376 0.147607 2.30519 202.213 97.5559 1337.18 12.0303 330.124 219.181 292.132 215.502
3.316 46.5902 8.1125 -0.0437073 1.40469 3.09288 45.3316 107.611 0.0528654 222.52 109.538 207.608 188.185 166.407 117.768 124.639 67.9027 72.7901 79.9552 8.01022 0.290462 254.254 847.214 80.1229 0.271466 0.115736 2.3561 178.308 91.816 1372.83 12.9361 317.748 227.108 301.471 224.383
3.32 45.8755 9.81071 -0.0321906 0.980673 2.4559 39.4537 106.458 0.0270917 208.887 97.4242 187.352 171.694 168.417 119.217 125.547 68.4897 73.2492 80.2222 7.92707 0.315688 267.417 902.093 85.23 0.29943 0.0823089 2.399 157.328 86.7062 1403.65 13.8129 306.358 231.529 305.658 230.271
3.324 45.4635 11.9974 -0.0193768 0.668876 1.96928 34.4087 105.481 0.000169511 198.067 83.4549 163.403 151.702 169.171 119.798 125.421 68.641 73.2358 80.0178 7.83554 0.34051 280.605 959.823 90.5546 0.326831 0.0464663 2.43288 139.381 82.2754 1430.24 14.6475 296.376 231.862 303.827 232.685
3.328 45.3293 14.7602 -0.0055013 0.448413 1.61025 30.0814 104.66 -0.0296136 190.681 68.4134 136.846 129.032 168.683 119.528 124.315 68.3681 72.7584 79.1099 7.73348 0.364207 293.861 1019.7 96.1219 0.352838 0.00809938 2.45689 124.361 78.5467 1452.91 15.4259 288.148 227.475 295.161 231.102
3.332 45.441 18.1845 0.00935497 0.300574 1.35957 26.361 103.961 -0.0638787 187.463 53.2062 109.247 104.912 167.022 118.457 122.348 67.6955 71.8412 77.4878 7.61907 0.385106 307.22 1080.71 101.943 0.375743 -0.0341912 2.47034 112.087 75.5293 1471.83 16.1309 281.92 217.788 279.028 224.956
